('P0', 'id');('P1_a ', 'Idade');('P1_b ', 'Genero');('P1_e ', 'experiencia_profissional_prejudicada');EXPERIÊNCIA PREJUDICADA SIM OU NAO;('P2_d ', 'Gestor?');('P2_f ', 'Cargo Atual');AGRUPAMENTO CARGOS;('P2_h ', 'Faixa salarial');MÉDIA FAIXA SALARIAL;('P2_g ', 'Nivel');NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?');PRETENDE SAIR SIM OU NAO - TARGET;('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P2_s ', 'Qual a forma de trabalho ideal para você?');ESTOU NO TRABALHO IDEAL?
lzqy8ozcgkxnlzqlsfzpn6sw4bmyhgsd;31;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analytics Engineer;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
lzqzzy5ycwhp5eiklz87lsngjq4kx1yw;24;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
m04glc335odulflc3xwtum04gl2hubnj;25;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
m0wfbpw9xtzi4m0c90dpntp8bhgzv5yq;52;Masculino;;0;1;;Não informado;de R$ 4.001/mês a R$ 6.000/mês;5000;;0;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo 100% remoto;0
m13qcvikywmt5p4fm134hap89pxdf15t;32;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Produto;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido com dias fixos de trabalho presencial;0
m1gb4ku6z9y15n9a4km4m1gb41f7dwxh;29;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
m1ggodbandi0xlmksm1ggodbmrazg6fo;32;Masculino;;0;0;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Produto;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
m1hwevp1hvwlocpzm1hwevuewxussvv8;27;Masculino;;0;;;Não informado;;0;;2;;;1;;;1
m1jpb7742toylskkm1jpbdso8179y23o;30;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analytics Engineer;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
m1t9631u7uft7jqgm1trk8iaytncee1y;33;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
m2j5vxl735207wwm26frcguqng1rkswt;30;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m2ki1q2xmvzly7zm2ki9bz1ftbrlvotf;28;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
m2pbsdc3uvagcotdblm2pbvwfudpx8by;51;Masculino;;0;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
m328zs2hxc7h9lna2m328wwj9z4aaec7;26;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;0;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m37nioalatbf19om37znigimvqwg2j94;41;Masculino;Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD;1;0;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Desenvolvimento;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
m3gv1jmohx6spkmg53jkckm3gv1jmohd;28;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Outra Opção;Outro;de R$ 3.001/mês a R$ 4.000/mês;3500;Júnior;0;0;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m3ilnoz7dpuzrmiradmz95tpi4gm3iln;41;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Analista de Suporte/Analista Técnico;Infraestrutura;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
m3stdl8gop23vdkozgm3stdl8g4ec63y;21;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
m3tpzamh6wh08mor1u1m3tpzfx1r9x8w;31;Masculino;;0;1;;Não informado;de R$ 12.001/mês a R$ 16.000/mês;14000;;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo 100% remoto;1
m3zcqm8v1pnz7qflkenm3zcftnz8spx1;27;Masculino;;0;;;Não informado;;0;;1;;;1;;;1
m4845pl1rpskqwtym4m484598ir893w0;48;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Analista de Suporte/Analista Técnico;Infraestrutura;de R$ 6.001/mês a R$ 8.000/mês;7000;Sênior;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m4jtkz3dx6f2wm4enm4jt31g05g7zeb0;25;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
m55bhuy4teu5rogrjkqm55bjuns3f7aq;27;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;;;Não informado;;0;;1;;;1;;;1
m5fbm4oij5x6j3x55v8qqm5fbmaodgtj;32;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
m5waomsroq8lsnph9m5waomsp0o3c6wi;38;Masculino;;0;1;;Não informado;de R$ 6.001/mês a R$ 8.000/mês;7000;;2;0;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo híbrido com dias fixos de trabalho presencial;0
m5xzz7uzxmynaap49m5xzw9lo0qqrpbw;34;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
m63dm2wiy64lppwzmogjelm63dmkw8r6;19;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo 100% remoto;0
m68dh07zovuq9m6m68dh963fv7zrn14p;34;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Outra Opção;Outro;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m6f6plo1hkey5kda8fgwmem6f6plodm2;42;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;2;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
m6lm7o6mn92rrgmbxtm6lm7onvqir3vy;33;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 2.001/mês a R$ 3.000/mês;2500;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m6p2hjcz63a2bdj8ckm6p2hpbzm4ylj4;19;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Inteligência de Mercado/Market Intelligence;Análise de Dados;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m6x2py1kha2p9ow93qymm6x2py1bjj5j;34;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
m75jdi25uk9orcuram75jd21r94wp97j;26;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 6.001/mês a R$ 8.000/mês;7000;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m7aegefejfintmtf8guxt8l1ozm5ntf8;48;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m7mbi58rf4v8wokleej8m7mbinu19mpk;30;Masculino;;0;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;1;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
m88touhtv62nvzpn3ymm88touujjh9wv;45;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;;;Não informado;;0;;1;;;1;;;1
m8aqh8d61hqwd51i3a2ym8aqh8d65l56;35;Masculino;;0;1;;Não informado;de R$ 30.001/mês a R$ 40.000/mês;35000;;0;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m8bwsdngqbex3ou5oapm8bwsglam42r9;30;Masculino;;0;1;;Não informado;de R$ 12.001/mês a R$ 16.000/mês;14000;;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m8hns3oo5yq46ni1rtdp7m8hns38p7u2;36;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m8x71u9sg110deloc3ucym8x71u9sne6;35;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Suporte/Analista Técnico;Infraestrutura;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m97amshwqd61obe48vum97amjpn0nhoe;33;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;1;;Não informado;de R$ 4.001/mês a R$ 6.000/mês;5000;;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
m9icsyvz9ppn5snm9ic7r5gvur9s4irp;26;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;;;Não informado;;0;;1;;;1;;;1
ma0w6pydb1p1zuama0w12xi10a9qg1aj;35;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
ma276jy3d70v66nma2k6qnzc6rbbl6qh;35;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mafxr0bumfh5mly7mafxr0rf6k1v39nn;32;Masculino;;0;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mb6bojhd7mk8n5wnye8pv11hcmb6bojh;35;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Suporte/Analista Técnico;Infraestrutura;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mbf6ooy92qhs5i3pmlk9ombf6klsbib6;56;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
mbhjikbuy8rmumbhjikx352m4p2a2uyr;27;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mbhypk17me9lqtp4mbhy3csmdbtw11rl;43;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;1;;Não informado;de R$ 16.001/mês a R$ 20.000/mês;18000;;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
mcbqld5hydzdn220gmcbh3jojnajvld0;47;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analista de Suporte/Analista Técnico;Infraestrutura;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo 100% remoto;0
mceg1d0giyg90ko41mce0y4gr6sq0gys;25;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
mco13y1vkhp4w6xszm0wqamco13y16y3;26;Masculino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD;1;0;Outra Opção;Outro;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo 100% remoto;0
md0yjd2zxb7xyovxemd0y2igdb3tdke4;34;Masculino;;0;;;Não informado;;0;;1;;;1;;;1
mdn61vxwlfvqwws2dmdn61vxjbrif2xa;25;Masculino;;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido com dias fixos de trabalho presencial;1
mdyhq69enzh9vtiekmdyhq6tneuj1mey;29;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Inteligência de Mercado/Market Intelligence;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
me5omt99dvox8r5kme5omtf5ok37koe6;25;Masculino;;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
meb4hy15fydg9kmkmeb4hy15ut59mrqn;33;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;1;;Não informado;de R$ 6.001/mês a R$ 8.000/mês;7000;;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
menaldehr01z96ehmenald756s8yft3x;18;Masculino;;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
meppdb6m4c54exlcq29vjemeppdb6r2w;34;Masculino;;0;1;;Não informado;de R$ 6.001/mês a R$ 8.000/mês;7000;;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo 100% presencial;1
mf2dcdngr2repi4n2mmf2d30zo0xv2c9;35;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
mfhace4lflb3m91mcdmfhace4l8rcuu9;26;Masculino;;0;1;;Não informado;de R$ 20.001/mês a R$ 25.000/mês;22500;;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mfjamwl326ya17s3gllmfja0hy2h8d3t;30;Feminino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;1;;Não informado;de R$ 8.001/mês a R$ 12.000/mês;10000;;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mga2115fvk64myumga27xx2xbkh1uoko;28;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mgr8au8hixivr51l7j2tmgr8au7sjv5f;22;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mgzoii5pu0yin2s4q66tmgzoii54k6n8;26;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia;1;;;Não informado;;0;;0;;;1;;;1
mh13odd4behdwqpmh13lphm4do4jsvtg;18;Masculino;;0;0;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Desenvolvimento;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mh3w81jw2ku8f396rcy922amh3w8grx3;32;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mh6bdg5epyddrk5hfmumh6bkf39e5z50;22;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mha8ny16hngqwomha8mw6m9a1p3bwz22;23;Masculino;;0;;;Não informado;;0;;1;;;1;;;1
mhelx7vfhp1gclvlnhgrmrmhelxt6h3b;41;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido com dias fixos de trabalho presencial;0
mhet3sg7t9vfz6x7chqmhetlb42uq1dl;25;Masculino;;0;0;Analista de BI/BI Analyst;Análise de Dados;de R$ 2.001/mês a R$ 3.000/mês;2500;Júnior;0;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
mhgv3hkshp2aap9021mhgr2fzlke6yqv;25;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Sênior;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo 100% remoto;0
mhijdy618qhq5wlbdmhijdyhn01nsoqz;29;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
mhkb5j3d8wjbxy4wfmhkb0poc7ktd2ih;42;Masculino;;0;0;Outra Opção;Outro;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
mhl6rfs9o181fychj4hzmhl6rfyegh4k;42;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
mhp5klxo2wwv89st451hcmhp5ki0jjl1;34;Masculino;;0;1;;Não informado;de R$ 30.001/mês a R$ 40.000/mês;35000;;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
mhu1sl700bjaz5gnbmhusoqcicyikl47;35;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;;;Não informado;;0;;0;;;1;;;1
