('P1_a ', 'Idade');('P1_b ', 'Genero');EXPERIÊNCIA PREJUDICADA SIM OU NAO;AGRUPAMENTO CARGOS;MÉDIA FAIXA SALARIAL;NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');PRETENDE SAIR SIM OU NAO - TARGET;ESTOU NA FORMA DE TRABALHO IDEAL?
27;Masculino;0;Análise de Dados;14000;2;1;1;1
34;Masculino;0;Análise de Dados;18000;2;0;1;0
25;Masculino;0;Análise de Dados;7000;1;1;1;1
30;Feminino;0;Engenharia de Dados;10000;2;0;1;1
37;Masculino;0;Análise de Dados;5000;0;0;1;0
29;Masculino;0;Negócios;7000;2;0;1;1
27;Masculino;0;Análise de Dados;7000;0;1;1;0
27;Masculino;0;Análise de Dados;5000;0;1;0;0
42;Feminino;1;Engenharia de Dados;14000;2;1;1;0
29;Masculino;0;Análise de Dados;14000;1;1;1;0
23;Masculino;0;Análise de Dados;2500;1;0;1;0
30;Feminino;1;Outras Engenharias;1500;0;1;1;0
26;Feminino;1;Análise de Dados;5000;1;1;1;1
24;Masculino;0;Análise de Dados;3500;0;1;0;0
41;Masculino;0;Engenharia de Dados;22500;2;1;1;1
22;Masculino;0;ML/IA;5000;0;1;0;1
30;Masculino;0;Análise de Dados;3500;1;0;1;0
44;Masculino;0;Análise de Dados;22500;2;1;0;1
30;Masculino;0;Científico/Quantitativo;1500;0;1;0;1
26;Masculino;1;Análise de Dados;10000;2;1;1;1
40;Masculino;0;Engenharia de Dados;10000;1;1;1;1
36;Masculino;0;Produto;14000;2;1;0;1
38;Masculino;0;Engenharia de Dados;14000;2;1;1;1
35;Masculino;1;Análise de Dados;2500;1;1;1;0
36;Masculino;0;Análise de Dados;5000;1;0;1;1
29;Feminino;0;Negócios;7000;2;0;1;1
32;Feminino;1;Análise de Dados;10000;0;1;1;1
23;Feminino;0;Análise de Dados;5000;0;1;0;0
25;Masculino;0;Negócios;5000;1;0;1;0
32;Masculino;0;Engenharia de Dados;7000;1;1;1;1
30;Feminino;1;Análise de Dados;10000;0;1;0;0
32;Masculino;0;Engenharia de Dados;10000;2;1;1;1
29;Masculino;1;Negócios;10000;2;1;1;1
25;Masculino;0;Análise de Dados;5000;1;1;1;1
42;Masculino;0;Desenvolvimento;35000;2;0;1;0
29;Masculino;0;Análise de Dados;22500;2;1;1;1
22;Masculino;0;Análise de Dados;1500;0;1;0;0
27;Masculino;0;Análise de Dados;5000;1;1;1;0
29;Masculino;0;Análise de Dados;7000;1;0;1;0
32;Masculino;0;Engenharia de Dados;18000;2;1;0;1
27;Masculino;0;Análise de Dados;10000;2;1;1;0
28;Feminino;1;Análise de Dados;2500;0;1;0;1
42;Masculino;0;Outro;500;0;1;1;0
29;Feminino;0;Análise de Dados;5000;1;0;1;1
57;Masculino;0;Análise de Dados;10000;2;1;1;0
27;Masculino;0;Análise de Dados;5000;1;0;1;0
29;Masculino;0;Análise de Dados;10000;2;1;0;0
44;Masculino;0;Análise de Dados;14000;2;1;0;1
20;Masculino;0;Análise de Dados;500;0;1;0;0
27;Masculino;0;Negócios;5000;0;1;0;1
27;Masculino;0;Análise de Dados;7000;1;1;1;0
29;Masculino;0;Análise de Dados;18000;2;1;1;0
28;Masculino;1;Análise de Dados;7000;1;0;1;1
40;Masculino;0;Outro;14000;2;1;0;1
26;Masculino;0;Desenvolvimento;10000;2;1;0;0
25;Masculino;0;Análise de Dados;5000;0;1;1;0
44;Masculino;0;Análise de Dados;5000;2;0;1;0
30;Masculino;0;Análise de Dados;10000;2;0;1;0
39;Masculino;0;Engenharia de Dados;22500;2;1;1;1
21;Masculino;0;Análise de Dados;2500;0;1;1;0
30;Masculino;0;Análise de Dados;10000;2;1;0;1
28;Masculino;0;Desenvolvimento;18000;2;0;1;0
25;Masculino;0;Análise de Dados;5000;1;0;0;0
31;Masculino;0;Análise de Dados;10000;2;1;1;1
27;Feminino;1;Análise de Dados;3500;0;1;1;0
29;Feminino;1;Análise de Dados;10000;2;1;1;1
25;Masculino;0;Análise de Dados;18000;2;1;1;0
37;Masculino;0;Análise de Dados;14000;2;1;1;1
28;Feminino;1;Análise de Dados;5000;2;1;0;0
55;Masculino;0;Desenvolvimento;14000;2;1;1;1
29;Feminino;1;Análise de Dados;10000;1;1;1;1
37;Masculino;0;Análise de Dados;18000;2;1;1;1
28;Masculino;1;Análise de Dados;5000;0;0;1;0
26;Masculino;0;Análise de Dados;3500;0;1;1;1
31;Masculino;0;Análise de Dados;7000;1;0;1;0
26;Masculino;0;Análise de Dados;14000;2;1;0;1
34;Masculino;0;Análise de Dados;3500;1;1;1;0
38;Masculino;0;Análise de Dados;3500;0;1;1;0
40;Masculino;0;Engenharia de Dados;18000;2;1;1;0
23;Masculino;0;Análise de Dados;10000;1;1;0;0
28;Feminino;1;Engenharia de Dados;27500;1;1;0;0
36;Masculino;0;Engenharia de Dados;10000;2;1;0;0
24;Feminino;1;Análise de Dados;3500;1;0;1;0
41;Masculino;0;Análise de Dados;45000;1;0;1;0
30;Feminino;1;Análise de Dados;14000;2;1;0;1
23;Masculino;0;Análise de Dados;1500;0;0;1;0
23;Masculino;0;Análise de Dados;5000;0;1;1;0
27;Feminino;0;Engenharia de Dados;10000;1;1;1;0
29;Masculino;0;Análise de Dados;18000;2;1;1;0
31;Masculino;0;Análise de Dados;5000;1;1;1;1
50;Masculino;0;Desenvolvimento;10000;2;1;0;0
29;Feminino;1;Análise de Dados;10000;2;1;1;0
35;Feminino;0;Análise de Dados;14000;2;1;1;0
30;Masculino;0;Análise de Dados;5000;1;1;1;0
32;Masculino;0;Análise de Dados;10000;0;1;1;0
30;Masculino;0;Análise de Dados;5000;1;0;1;1
27;Masculino;0;Análise de Dados;3500;1;1;1;0
28;Masculino;0;Outras Engenharias;10000;0;0;1;0
34;Masculino;0;Produto;14000;2;1;0;1
27;Masculino;1;Análise de Dados;5000;0;1;0;1
35;Masculino;0;Análise de Dados;10000;2;0;1;1
23;Masculino;0;Engenharia de Dados;7000;1;0;1;1
35;Feminino;1;Outro;3500;1;1;0;1
31;Feminino;0;Engenharia de Dados;10000;1;1;0;1
25;Masculino;0;Engenharia de Dados;7000;1;1;0;0
35;Feminino;1;Análise de Dados;14000;1;1;0;0
36;Masculino;0;Engenharia de Dados;10000;2;1;1;0
26;Masculino;0;Análise de Dados;10000;1;1;0;0
43;Masculino;0;Outro;27500;2;1;1;1
38;Masculino;0;Análise de Dados;5000;0;0;1;1
29;Feminino;0;Engenharia de Dados;10000;1;1;0;1
31;Masculino;0;Análise de Dados;7000;1;1;1;1
22;Masculino;1;Acadêmico;500;1;0;1;0
38;Feminino;0;Análise de Dados;3500;0;0;1;0
38;Masculino;0;Outro;7000;2;1;1;0
21;Masculino;0;Análise de Dados;1500;0;1;1;0
27;Feminino;1;Análise de Dados;10000;1;1;0;1
49;Masculino;1;Análise de Dados;14000;2;1;0;1
28;Masculino;1;Engenharia de Dados;5000;0;0;1;1
26;Masculino;0;Análise de Dados;5000;0;1;1;1
27;Masculino;0;Acadêmico;10000;0;1;1;1
27;Masculino;1;Análise de Dados;5000;1;0;0;1
34;Masculino;0;Análise de Dados;3500;0;0;1;1
35;Feminino;1;Infraestrutura;5000;1;0;1;0
27;Masculino;0;Análise de Dados;14000;1;1;0;0
39;Masculino;0;Análise de Dados;7000;0;1;1;1
38;Masculino;0;Acadêmico;10000;2;0;1;0
27;Masculino;0;Engenharia de Dados;5000;1;1;1;1
24;Masculino;0;Análise de Dados;7000;2;1;1;1
26;Feminino;0;Análise de Dados;7000;1;1;1;0
34;Masculino;0;Análise de Dados;7000;1;0;1;1
26;Feminino;1;Análise de Dados;7000;1;1;1;1
30;Masculino;0;Análise de Dados;7000;1;0;1;0
32;Masculino;0;Análise de Dados;5000;1;1;1;1
37;Feminino;1;Engenharia de Dados;14000;2;1;0;1
33;Feminino;1;Engenharia de Dados;35000;1;1;0;1
21;Masculino;0;Engenharia de Dados;500;0;1;0;0
33;Masculino;0;ML/IA;18000;2;1;1;1
28;Feminino;1;Negócios;14000;2;1;1;0
25;Masculino;0;Análise de Dados;5000;1;0;1;0
30;Masculino;0;Análise de Dados;10000;0;1;0;1
34;Feminino;1;Engenharia de Dados;10000;2;1;1;0
33;Masculino;0;Engenharia de Dados;14000;2;1;0;1
40;Masculino;0;Desenvolvimento;18000;1;0;1;0
32;Masculino;0;Análise de Dados;7000;1;1;1;0
26;Masculino;0;Análise de Dados;10000;2;1;0;1
49;Masculino;0;Análise de Dados;10000;1;1;1;1
43;Masculino;0;Análise de Dados;14000;2;1;0;1
39;Masculino;0;Análise de Dados;5000;1;1;0;1
27;Masculino;0;Engenharia de Dados;35000;2;1;0;1
38;Masculino;0;Outro;2500;2;0;1;0
29;Masculino;0;Análise de Dados;10000;1;1;1;0
27;Feminino;1;Engenharia de Dados;14000;2;1;0;0
38;Feminino;1;Análise de Dados;10000;0;1;0;0
23;Masculino;0;Desenvolvimento;5000;1;0;1;0
24;Masculino;0;Análise de Dados;7000;2;0;1;0
24;Feminino;1;Análise de Dados;2500;0;1;1;1
38;Feminino;0;Análise de Dados;5000;0;1;1;0
28;Masculino;0;Engenharia de Dados;14000;2;1;1;1
51;Masculino;0;Infraestrutura;10000;2;1;1;1
36;Masculino;0;Análise de Dados;14000;2;1;1;1
25;Feminino;1;Análise de Dados;10000;2;1;0;0
35;Feminino;0;Análise de Dados;1500;0;1;1;1
29;Masculino;0;Análise de Dados;5000;0;1;0;0
29;Feminino;1;Análise de Dados;7000;1;1;1;1
26;Masculino;0;Análise de Dados;5000;1;0;1;0
36;Masculino;0;Engenharia de Dados;18000;2;1;1;1
27;Feminino;0;Análise de Dados;7000;1;1;1;0
27;Masculino;0;Engenharia de Dados;3500;0;1;0;0
27;Masculino;0;Científico/Quantitativo;7000;0;0;1;1
24;Feminino;1;Análise de Dados;2500;0;1;0;1
38;Feminino;0;Outro;500;0;1;1;0
25;Masculino;0;Infraestrutura;1500;0;1;1;0
31;Masculino;0;Análise de Dados;7000;1;1;1;1
28;Masculino;0;Análise de Dados;10000;1;1;1;1
31;Masculino;0;Desenvolvimento;18000;2;1;1;1
25;Outro;1;Análise de Dados;7000;2;0;1;1
24;Feminino;1;Análise de Dados;7000;1;1;1;1
32;Masculino;1;Análise de Dados;10000;2;0;1;1
28;Masculino;0;Negócios;5000;2;0;1;0
31;Feminino;1;Análise de Dados;18000;2;0;1;1
33;Masculino;0;Análise de Dados;3500;1;0;1;0
24;Masculino;1;Análise de Dados;10000;1;1;1;1
32;Masculino;0;ML/IA;45000;2;0;1;1
24;Masculino;0;Outro;2500;0;1;1;0
25;Masculino;0;Análise de Dados;7000;1;1;1;0
28;Masculino;0;Engenharia de Dados;5000;2;1;1;1
28;Masculino;0;Análise de Dados;18000;2;1;1;0
58;Masculino;0;Engenharia de Dados;10000;2;0;1;0
26;Masculino;0;ML/IA;7000;1;1;0;1
34;Feminino;1;Análise de Dados;10000;1;1;1;0
41;Masculino;0;Desenvolvimento;27500;2;1;0;1
24;Masculino;0;Análise de Dados;5000;1;0;1;0
30;Masculino;0;Análise de Dados;10000;1;1;1;1
30;Feminino;1;Produto;10000;2;1;0;1
37;Masculino;0;Análise de Dados;14000;1;1;1;1
33;Masculino;0;Engenharia de Dados;5000;1;1;1;1
28;Feminino;0;Análise de Dados;10000;2;1;0;1
34;Masculino;0;Outro;1500;0;1;1;0
50;Masculino;1;Científico/Quantitativo;22500;2;1;1;0
22;Masculino;0;Análise de Dados;5000;0;1;1;1
26;Masculino;1;Infraestrutura;3500;1;0;1;0
19;Feminino;1;Análise de Dados;1500;0;1;0;1
31;Masculino;0;Engenharia de Dados;14000;2;1;1;1
26;Feminino;0;Outro;2500;0;1;0;1
24;Masculino;0;Análise de Dados;5000;1;1;1;1
27;Feminino;1;Análise de Dados;10000;1;0;1;1
27;Feminino;1;Análise de Dados;1500;0;1;1;0
23;Feminino;0;Negócios;3500;0;1;0;1
37;Masculino;0;Outro;2500;1;0;1;0
32;Feminino;0;Análise de Dados;1500;0;1;1;0
28;Masculino;0;Análise de Dados;22500;2;1;1;1
37;Masculino;0;Engenharia de Dados;14000;2;1;1;1
23;Masculino;0;Análise de Dados;10000;1;1;0;0
30;Masculino;0;Engenharia de Dados;14000;1;1;1;1
31;Masculino;0;Engenharia de Dados;7000;1;1;1;0
28;Feminino;0;Análise de Dados;5000;1;1;0;0
26;Masculino;0;Análise de Dados;3500;1;1;1;0
28;Masculino;0;Engenharia de Dados;27500;1;1;1;1
31;Feminino;1;Engenharia de Dados;7000;1;0;1;0
47;Masculino;0;Negócios;2500;0;0;1;0
31;Masculino;0;Outras Engenharias;14000;2;1;0;1
30;Feminino;0;Análise de Dados;14000;2;1;0;1
44;Masculino;0;Produto;14000;2;1;1;1
35;Masculino;0;Análise de Dados;10000;1;1;0;0
28;Masculino;0;Análise de Dados;2500;0;1;1;0
31;Feminino;1;Análise de Dados;5000;0;1;1;0
25;Masculino;0;Análise de Dados;3500;0;1;0;0
25;Feminino;0;Análise de Dados;5000;0;1;1;0
48;Masculino;0;Análise de Dados;5000;1;1;1;0
30;Masculino;1;ML/IA;10000;2;1;1;1
31;Masculino;0;Engenharia de Dados;22500;2;1;1;1
26;Masculino;0;Análise de Dados;7000;1;0;1;0
34;Masculino;0;Engenharia de Dados;2500;0;1;1;1
22;Masculino;0;Engenharia de Dados;14000;2;1;1;0
36;Masculino;0;Análise de Dados;18000;2;1;0;1
27;Prefiro não informar;0;Engenharia de Dados;3500;0;0;1;0
26;Masculino;0;Análise de Dados;10000;1;0;1;0
24;Masculino;0;Análise de Dados;5000;0;1;1;0
32;Feminino;1;Outro;27500;1;1;1;0
40;Masculino;0;Engenharia de Dados;22500;2;1;1;1
31;Masculino;1;Engenharia de Dados;7000;0;1;0;1
29;Masculino;1;Outras Engenharias;10000;0;0;1;0
39;Masculino;1;Engenharia de Dados;35000;2;1;1;1
26;Feminino;1;Análise de Dados;7000;1;0;1;1
26;Feminino;0;Análise de Dados;5000;1;1;1;0
21;Masculino;0;Análise de Dados;1500;0;1;1;0
29;Feminino;1;Análise de Dados;3500;1;0;1;0
33;Masculino;0;Desenvolvimento;10000;0;1;1;0
26;Masculino;0;Análise de Dados;5000;1;0;1;1
31;Masculino;0;Engenharia de Dados;5000;0;0;1;1
35;Masculino;0;Análise de Dados;14000;2;1;1;1
28;Masculino;0;Engenharia de Dados;10000;1;1;0;1
21;Masculino;0;Análise de Dados;5000;0;1;1;0
36;Masculino;1;Análise de Dados;7000;2;1;0;0
33;Masculino;0;Engenharia de Dados;14000;1;1;1;0
29;Masculino;0;Análise de Dados;14000;2;1;1;1
38;Masculino;0;Análise de Dados;10000;1;0;1;0
30;Masculino;0;Análise de Dados;10000;2;0;1;1
29;Masculino;0;Análise de Dados;10000;1;0;1;1
23;Masculino;0;Análise de Dados;5000;0;1;1;0
27;Masculino;0;Análise de Dados;7000;2;1;1;1
32;Masculino;0;Outro;3500;0;0;1;0
32;Feminino;1;Análise de Dados;10000;2;0;1;1
25;Masculino;0;Engenharia de Dados;3500;0;1;1;0
21;Masculino;0;Outro;2500;0;1;1;1
29;Feminino;0;Análise de Dados;10000;2;1;0;0
32;Masculino;0;Produto;14000;2;1;0;1
27;Feminino;0;Análise de Dados;10000;2;1;1;0
33;Masculino;0;Análise de Dados;22500;2;1;1;1
27;Masculino;0;Análise de Dados;5000;1;1;1;0
26;Masculino;0;Análise de Dados;14000;2;1;1;1
34;Masculino;0;Análise de Dados;14000;2;1;1;1
22;Masculino;0;Análise de Dados;2500;0;1;0;0
33;Masculino;0;Outro;7000;2;0;1;1
34;Masculino;0;Análise de Dados;18000;1;1;1;0
26;Feminino;1;Negócios;10000;1;0;1;0
28;Feminino;1;Negócios;2500;0;1;1;1
24;Masculino;1;Negócios;3500;0;1;1;0
35;Feminino;0;Análise de Dados;18000;2;1;0;1
51;Masculino;0;Outro;45000;2;1;0;1
44;Masculino;0;Análise de Dados;5000;1;1;0;0
24;Masculino;0;Análise de Dados;2500;0;1;1;0
29;Feminino;0;Negócios;10000;2;1;1;0
28;Masculino;0;Análise de Dados;2500;0;1;1;0
43;Masculino;0;Infraestrutura;2500;1;0;1;0
25;Masculino;0;Outro;7000;2;0;1;0
23;Masculino;0;Análise de Dados;3500;1;1;1;1
31;Masculino;1;Análise de Dados;3500;0;1;1;0
29;Masculino;1;Análise de Dados;7000;1;0;1;0
32;Masculino;0;Análise de Dados;7000;1;1;0;0
28;Masculino;0;Engenharia de Dados;7000;1;1;0;1
34;Feminino;1;Outro;2500;1;1;1;1
39;Masculino;1;Engenharia de Dados;7000;2;1;1;0
30;Masculino;0;Análise de Dados;10000;2;1;1;0
26;Masculino;0;Engenharia de Dados;7000;1;0;1;0
33;Masculino;0;Análise de Dados;5000;1;0;1;0
24;Masculino;0;Análise de Dados;500;0;0;1;0
24;Masculino;0;Análise de Dados;5000;0;1;0;0
33;Masculino;0;Análise de Dados;7000;0;1;1;0
27;Masculino;0;Análise de Dados;5000;1;1;1;0
26;Masculino;0;Análise de Dados;10000;1;0;1;0
25;Feminino;1;Engenharia de Dados;5000;1;1;0;1
32;Feminino;1;Engenharia de Dados;500;0;1;1;0
33;Masculino;0;Análise de Dados;5000;1;1;0;1
26;Feminino;1;Análise de Dados;5000;1;1;1;1
24;Feminino;1;Análise de Dados;10000;2;1;1;1
37;Masculino;0;Outro;2500;2;0;1;0
28;Masculino;0;Engenharia de Dados;7000;2;0;1;1
27;Masculino;0;Análise de Dados;5000;1;0;1;0
25;Masculino;0;Análise de Dados;10000;1;1;0;1
29;Masculino;0;Análise de Dados;7000;1;1;1;1
37;Masculino;0;Engenharia de Dados;18000;2;1;1;1
35;Masculino;0;Desenvolvimento;10000;2;1;1;0
45;Masculino;0;Análise de Dados;7000;1;1;1;1
26;Masculino;0;Engenharia de Dados;10000;2;0;1;1
29;Masculino;0;Análise de Dados;10000;1;1;1;0
26;Masculino;0;Análise de Dados;5000;0;1;1;1
28;Feminino;0;Análise de Dados;10000;1;1;1;0
35;Masculino;0;Análise de Dados;14000;2;1;1;0
33;Masculino;0;Análise de Dados;5000;1;1;0;1
34;Masculino;0;Engenharia de Dados;10000;1;1;0;1
35;Masculino;0;Negócios;7000;2;1;1;1
32;Feminino;1;Outro;7000;1;1;1;1
30;Feminino;0;Outro;10000;2;1;1;1
30;Masculino;0;Engenharia de Dados;7000;1;0;1;0
26;Masculino;0;Análise de Dados;10000;1;1;1;1
29;Masculino;0;Análise de Dados;10000;2;1;0;1
30;Masculino;0;Análise de Dados;22500;2;1;1;1
27;Feminino;1;Análise de Dados;2500;0;0;1;0
26;Masculino;0;Análise de Dados;10000;2;1;1;1
22;Masculino;0;Engenharia de Dados;10000;2;1;1;0
35;Masculino;0;Análise de Dados;18000;2;1;0;0
40;Masculino;0;Engenharia de Dados;10000;2;0;1;0
31;Feminino;0;Engenharia de Dados;10000;1;1;1;0
34;Feminino;1;Engenharia de Dados;5000;0;0;1;0
27;Masculino;0;Desenvolvimento;7000;1;0;1;1
30;Feminino;1;Negócios;7000;1;1;1;0
27;Feminino;1;Negócios;5000;0;0;1;1
31;Masculino;0;Engenharia de Dados;10000;2;1;0;1
47;Masculino;0;Engenharia de Dados;10000;2;1;1;1
24;Masculino;0;Engenharia de Dados;3500;0;1;1;1
25;Masculino;0;Análise de Dados;10000;1;0;1;0
38;Masculino;0;Engenharia de Dados;10000;2;1;0;1
26;Masculino;0;Análise de Dados;10000;2;1;1;0
30;Masculino;0;Engenharia de Dados;14000;2;1;1;1
37;Masculino;0;Análise de Dados;10000;2;0;1;1
36;Masculino;0;Análise de Dados;5000;1;1;1;0
46;Masculino;0;Engenharia de Dados;14000;1;1;1;1
32;Masculino;0;Análise de Dados;3500;1;1;1;1
44;Masculino;0;Análise de Dados;10000;0;1;1;0
27;Masculino;0;Outro;7000;1;0;1;1
20;Feminino;0;Análise de Dados;1500;0;1;1;0
28;Masculino;0;Análise de Dados;7000;1;1;1;0
32;Masculino;0;Análise de Dados;5000;0;1;0;0
27;Feminino;1;ML/IA;10000;1;1;1;1
26;Masculino;0;Outro;7000;2;0;1;1
24;Masculino;0;Análise de Dados;3500;1;0;1;0
32;Feminino;1;Negócios;2500;0;1;0;0
22;Masculino;0;Análise de Dados;5000;1;1;1;0
26;Feminino;0;Análise de Dados;5000;0;1;1;0
26;Masculino;0;Engenharia de Dados;7000;1;1;0;0
22;Masculino;0;Análise de Dados;3500;0;0;1;1
40;Masculino;0;Engenharia de Dados;14000;1;0;1;1
31;Feminino;1;Análise de Dados;10000;2;1;0;0
30;Masculino;1;Análise de Dados;7000;1;1;0;0
44;Masculino;1;Desenvolvimento;7000;1;1;1;0
45;Masculino;0;Análise de Dados;18000;2;1;1;0
39;Masculino;0;Análise de Dados;10000;2;1;1;1
45;Masculino;0;Análise de Dados;14000;2;1;1;1
37;Feminino;1;Produto;14000;2;0;1;1
28;Masculino;1;Análise de Dados;5000;0;1;0;0
27;Masculino;0;Engenharia de Dados;5000;1;1;0;0
51;Masculino;0;Análise de Dados;10000;2;0;1;1
27;Feminino;0;Análise de Dados;5000;0;1;0;1
27;Feminino;0;Análise de Dados;10000;2;1;1;1
24;Masculino;0;Análise de Dados;3500;0;1;1;1
33;Masculino;0;Análise de Dados;5000;0;1;0;1
40;Masculino;0;Negócios;7000;2;1;1;0
22;Masculino;0;Negócios;2500;0;0;1;0
27;Masculino;0;Engenharia de Dados;7000;1;1;1;1
25;Masculino;0;Análise de Dados;5000;1;0;1;1
34;Masculino;0;Análise de Dados;7000;0;1;1;0
24;Masculino;0;Engenharia de Dados;5000;0;1;1;0
23;Masculino;0;Engenharia de Dados;5000;0;1;1;0
32;Masculino;0;Análise de Dados;2500;0;0;1;0
27;Masculino;0;Análise de Dados;10000;1;1;0;0
28;Masculino;0;Análise de Dados;2500;0;1;1;0
28;Feminino;0;Análise de Dados;5000;0;0;1;0
22;Feminino;1;Engenharia de Dados;3500;0;0;0;1
26;Masculino;0;Análise de Dados;5000;1;0;1;1
28;Masculino;0;Análise de Dados;5000;1;0;1;0
21;Masculino;0;Análise de Dados;2500;0;1;1;0
26;Masculino;0;Análise de Dados;1500;0;1;1;0
48;Masculino;0;Análise de Dados;18000;2;1;1;1
27;Masculino;0;Análise de Dados;2500;1;0;1;0
31;Feminino;1;Produto;10000;1;1;0;1
33;Feminino;1;Análise de Dados;14000;2;1;1;0
34;Masculino;1;ML/IA;14000;2;1;1;1
28;Feminino;1;Engenharia de Dados;1500;0;1;1;1
27;Masculino;0;Outro;1500;0;0;1;1
34;Masculino;0;Engenharia de Dados;10000;1;0;1;0
27;Masculino;1;Análise de Dados;7000;1;0;1;0
39;Masculino;0;Negócios;10000;2;0;1;0
27;Feminino;1;Análise de Dados;7000;1;1;1;0
36;Feminino;1;Engenharia de Dados;5000;1;0;0;1
22;Masculino;0;Negócios;5000;0;1;1;0
32;Masculino;0;Análise de Dados;14000;2;1;0;1
25;Masculino;0;Análise de Dados;2500;1;1;1;0
37;Feminino;0;Análise de Dados;10000;2;1;1;1
22;Feminino;1;Análise de Dados;3500;0;1;0;0
29;Masculino;0;Análise de Dados;3500;0;1;0;0
27;Feminino;1;Produto;10000;2;1;0;1
44;Masculino;0;Desenvolvimento;7000;2;1;1;0
44;Feminino;1;Engenharia de Dados;5000;0;0;1;0
22;Masculino;0;Análise de Dados;7000;1;1;1;0
29;Feminino;1;Engenharia de Dados;7000;2;1;0;1
32;Feminino;0;Análise de Dados;5000;0;1;0;1
29;Masculino;0;Análise de Dados;18000;2;1;1;1
40;Feminino;1;Produto;14000;2;1;1;1
38;Masculino;0;Análise de Dados;10000;2;1;1;0
31;Masculino;0;Análise de Dados;10000;2;1;1;1
35;Masculino;0;Infraestrutura;2500;1;1;1;0
34;Masculino;0;Análise de Dados;10000;2;0;1;1
30;Masculino;0;Engenharia de Dados;10000;1;1;1;0
25;Feminino;0;Análise de Dados;7000;1;1;1;0
19;Masculino;0;Análise de Dados;1500;0;1;0;0
24;Masculino;0;Análise de Dados;2500;0;1;0;0
36;Masculino;1;Engenharia de Dados;14000;1;1;1;1
34;Feminino;1;Infraestrutura;2500;0;0;1;1
25;Masculino;0;Engenharia de Dados;14000;1;1;0;1
37;Prefiro não informar;0;Científico/Quantitativo;5000;1;0;1;0
23;Masculino;0;Negócios;5000;0;1;0;0
38;Masculino;0;Engenharia de Dados;14000;2;1;0;1
27;Masculino;0;Infraestrutura;3500;1;0;1;0
33;Masculino;0;Engenharia de Dados;14000;2;1;1;1
29;Masculino;0;Análise de Dados;5000;0;0;1;1
22;Masculino;0;Análise de Dados;1500;0;1;1;0
28;Masculino;0;Análise de Dados;10000;1;1;0;1
32;Feminino;0;Análise de Dados;10000;1;0;1;0
37;Masculino;0;Engenharia de Dados;10000;2;1;1;1
29;Masculino;0;Análise de Dados;7000;0;0;1;0
28;Masculino;0;Análise de Dados;14000;2;0;1;0
32;Feminino;0;Análise de Dados;10000;2;1;1;1
27;Masculino;0;Análise de Dados;7000;2;1;1;1
37;Masculino;0;Análise de Dados;10000;2;1;1;1
63;Masculino;0;Engenharia de Dados;35000;2;1;1;1
29;Feminino;0;Análise de Dados;5000;0;0;1;0
27;Feminino;0;Outro;3500;0;0;1;1
39;Masculino;0;Análise de Dados;10000;2;1;1;1
36;Feminino;1;Engenharia de Dados;14000;2;0;1;0
25;Masculino;0;Engenharia de Dados;7000;1;1;1;1
32;Feminino;0;Outras Engenharias;22500;2;0;1;0
40;Feminino;1;Análise de Dados;14000;2;1;0;1
36;Masculino;0;Análise de Dados;14000;2;0;1;1
24;Masculino;0;ML/IA;5000;1;1;1;1
42;Masculino;0;Engenharia de Dados;7000;0;1;0;1
25;Masculino;0;Análise de Dados;5000;1;1;0;0
34;Masculino;0;Engenharia de Dados;7000;0;1;1;1
29;Masculino;0;Produto;14000;1;1;1;1
33;Masculino;0;Análise de Dados;7000;1;0;1;1
19;Masculino;0;Desenvolvimento;1500;0;1;1;0
26;Masculino;0;Engenharia de Dados;10000;1;1;0;0
42;Masculino;0;Análise de Dados;22500;1;1;1;1
36;Feminino;1;Negócios;3500;0;1;0;1
25;Masculino;0;Análise de Dados;10000;0;1;1;1
21;Masculino;0;Análise de Dados;5000;0;1;0;1
24;Masculino;0;Infraestrutura;2500;1;0;1;0
23;Masculino;0;Produto;14000;1;1;1;1
32;Masculino;0;Análise de Dados;10000;2;0;1;1
27;Masculino;0;Negócios;5000;2;1;1;0
35;Feminino;0;Análise de Dados;5000;0;0;1;1
31;Masculino;0;Análise de Dados;10000;1;1;1;1
61;Feminino;1;Outro;3500;1;0;1;0
44;Masculino;0;Análise de Dados;10000;1;1;1;0
34;Masculino;0;Engenharia de Dados;7000;1;0;1;1
37;Masculino;0;Outro;10000;2;1;1;0
33;Masculino;0;Análise de Dados;7000;1;0;1;0
28;Masculino;0;Análise de Dados;5000;0;1;1;1
34;Masculino;0;Análise de Dados;7000;2;0;1;1
29;Masculino;0;Análise de Dados;10000;1;0;1;1
36;Masculino;0;Negócios;18000;1;1;1;0
46;Masculino;0;Análise de Dados;10000;1;1;1;0
26;Feminino;1;Análise de Dados;10000;2;1;0;1
23;Masculino;0;Outro;2500;0;0;1;0
35;Masculino;0;Análise de Dados;10000;1;1;0;0
28;Masculino;0;Análise de Dados;2500;0;0;1;0
26;Masculino;0;Desenvolvimento;18000;2;1;1;1
29;Masculino;1;Análise de Dados;3500;0;1;1;1
22;Masculino;0;Infraestrutura;2500;0;1;1;0
35;Masculino;0;Negócios;5000;1;1;1;0
31;Masculino;0;Engenharia de Dados;10000;1;1;1;0
29;Feminino;1;Análise de Dados;7000;1;1;1;1
26;Masculino;0;Negócios;5000;1;0;1;0
