"('P0', 'id')","('P1_b ', 'Genero')","('P2_f ', 'Cargo Atual')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')"
as6w1tno47hv3z6387as6w1tovue61ku,Masculino,Analista de Dados/Data Analyst,de 7 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
asaay0s17l1l53evneasafrmm5i0dtwf,Feminino,,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
ashcy99oo61dby5685ashcy09s5ig7ln,Feminino,Analista de Dados/Data Analyst,de 1 a 2 anos,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
assf0itcr9r2as5xsaakqta7aotcdxgn,Feminino,,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
aszgcf0gxn72lfc8d85t4aszgctjjenv,Masculino,,de 5 a 6 anos,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios
aszhowzja0xy7cirjraszhow07k5for0,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Química / Física
at64z4ljof1lvio15mat64zj4iadnlih,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Mais de 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
atdc9nyh4gwt182fd14atdc9numsqink,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
atedidqkicjl9gk9caatedi6tey6xrbk,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Mais de 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
atljev5y0xzf4rrfr3gatlji98y5waws,Masculino,Cientista de Dados/Data Scientist,de 4 a 6 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
au0gxwvwaw0iacekkpjau0gxwz7ohoi4,Feminino,Analista de Dados/Data Analyst,de 1 a 2 anos,Pós-graduação,Ciências Sociais
au2qnr5yau4x4arhau2qnrre2jxrydj8,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
au8nxwzk07y1pl7xu8j3au8nxw4yrm5k,Masculino,Analista de BI/BI Analyst,Mais de 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
auddekt9qvgz4eat7vft1audd54iwz81,Feminino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
audkimne0molrp1khyhxpaudkimnk4lh,Masculino,Analista de Dados/Data Analyst,Mais de 10 anos,Mestrado,Outra opção
auh10h1piftkq0jmaumrb158kmqm2x8x,Masculino,,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
auklqtkqlrptefzsb19auklj17aihdvl,Feminino,Analista de Negócios/Business Analyst,Mais de 10 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
autv5hh39us30juxoiczautv5qqdr8di,Masculino,,,Mestrado,Outras Engenharias
auxzgwqp25a1sjm28hauxzssjt4yu74a,Masculino,Outra Opção,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
av00wx7un22gagy7mgav00gglqgk0tfa,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Mestrado,Outras Engenharias
avqi8rmsy10ow8nsnravqi8r1thwrroj,Masculino,Analista de BI/BI Analyst,de 7 a 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
avu3b2u8sp3ricavu3b2eoxs5phqy8uk,Feminino,Analista de BI/BI Analyst,de 3 a 4 anos,Mestrado,Outra opção
avvzhauy0mp0d938k5avvzhauhmg4v2x,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 4 a 6 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
aw23iwfiw2xs49duaw23idahf8h8456h,Masculino,Outras Engenharias (não inclui dev),Não tenho experiência na área de dados,Graduação/Bacharelado,Outras Engenharias
awxbeeu0w9moiznmx4sawxbe2l716yxa,Masculino,,de 4 a 6 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
awzkz7b04d2789a9esfawzkz7b0y2hcm,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
ax8mxrz6fegqvkax8mxvibu86dtm6th9,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
axh5jhqhsbi9edaxh0i4x7yt74z4caht,Feminino,Analista de BI/BI Analyst,de 3 a 4 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
axweibiqcvofzbolf3axwei83evdcn3s,Feminino,,de 1 a 2 anos,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
axwxv1s24gojg8tddtxaxwxvqlreshsq,Feminino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
axyb5yrbtxvvyqurhvaxyqzlu5q8cumb,Feminino,Analytics Engineer,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
ayekkgq0mvlk36ugiayekkgvpjautx7a,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
ayn3g5w4q3yq73rs9c0sayn3gtb5yxbz,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Estudante de Graduação,Outra opção
aynfiyyvtsx3x012ybaynfi9z5go3jou,Masculino,Analista de BI/BI Analyst,Menos de 1 ano,Mestrado,Outra opção
aza4sp9cym1o59pkaza49h1mci6ps07m,Feminino,,Mais de 10 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
azn1mkmj6zfvlazn1mtgg5g2z15h24hh,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
azvu80rsxjqhm3xqegfvhazvu80bo7zl,Feminino,,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
azy4b0n02mthazy4b38zmy39trqnd8n9,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
b075chlfhgl6twudecxpb075hgt9izt6,Feminino,,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
b0h0tocfmfpany8vzsb0h0tojxn4g2cu,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
b0m485fk21btdxygh3lw1b0m4t7m67ks,Masculino,,,Pós-graduação,Outra opção
b11nezxwsm1xgqjb11n6g25rodbw33mq,Masculino,Analista de Dados/Data Analyst,de 5 a 6 anos,Graduação/Bacharelado,Outras Engenharias
b1cddb9e0sp52t1qnfhb1cddbiusd6bs,Masculino,Engenheiro de Machine Learning/ML Engineer/AI Engineer,de 7 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
b1sb974ifjlt8f979aga9b1sb9szzi48,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
b20vlm9781yvb20vx4dqars8al9egakc,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
b227ddk15nyiotmhfb22mnb3y3nd9wwo,Feminino,,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
b23b7s1vuhe26xhpmb23b7swmk076v4w,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
b249wl2yhnwpcb249vqv6ia4gl9317ak,Feminino,,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
b29e577enfz6ma2zey4b29e5c7c78rrm,Feminino,Cientista de Dados/Data Scientist,Menos de 1 ano,Doutorado ou Phd,Outra opção
b2ewkyi0mku4uj640r5pqyb2ewkyi9z1,Masculino,,de 1 a 2 anos,Mestrado,Outras Engenharias
b2gn72mn4one5sjccsfb2gbgftve4m9s,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
b2hp9mvzf3ne3sab2hp91cil4tqor8nv,Masculino,Outra Opção,de 4 a 6 anos,Doutorado ou Phd,Ciências Sociais
b2johhgrlfzbz3byb2johhwhn77chb1m,Masculino,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
b2n87qxx7a1say6b2n811hz8r339zm2k,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
b2p39ggpsr5ctn1x4r0b2p39cyod4cii,Feminino,Analista de Dados/Data Analyst,de 4 a 6 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
b2t71uwmsf14rpau2e1b2t710l6khcd7,Masculino,,de 3 a 4 anos,Pós-graduação,Outra opção
b33qhmqc4764t946b33qvj83zc1ahexz,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Graduação/Bacharelado,Ciências Sociais
b36b0ndrghrvijwzb36b0tuuk4q9tdwv,Feminino,Outra Opção,Menos de 1 ano,Graduação/Bacharelado,Ciências Sociais
b3d11g7sf8cvqod9eb3d6m1se0qi3cek,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
b3fqsyj3e66pnbkb3fqs4icxv9qa7oh6,Masculino,,de 1 a 2 anos,Não tenho graduação formal,
b3xzqqnx6e7b3x9kqj6dx38adhs4npvi,Masculino,,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
b439hgn474j9pw2einb439hg2xeibuqk,Feminino,Analista de Dados/Data Analyst,de 1 a 2 anos,Não tenho graduação formal,
b45fq26309xd8d2sb45fqw0cept6xnae,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
b4kiu3ozu34mb4kiuy0mlt9l1utfm9mw,Feminino,,de 5 a 6 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
b4xprgzago69orspb4xpr1hwp8vnq0eg,Feminino,,de 3 a 4 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
b5072qxqlazakpbxvynogyzk5ut9kggs,Masculino,,,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
b5kcit8dkwiqbtdmcgeb5kci0hmsim99,Masculino,Analista de Dados/Data Analyst,de 7 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
b5mnrg30p13flbrjlhb5mn9koyzp0dv0,Prefiro não informar,Estatístico,de 3 a 4 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
b5vnz5rs5zvio2wb50k4veqcg2x9yuxf,Masculino,Outra Opção,Menos de 1 ano,Pós-graduação,Outra opção
b5y6g1e8n1t7bs5ljb5y6gyq9mxe198a,Masculino,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),de 4 a 6 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
b5ytqslpr77jcpmzb5yt1hm5aa0ijsun,Masculino,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),de 5 a 6 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
b6bfxa8x8u4n4jk8souxb6bfxak20jg5,Feminino,,de 4 a 6 anos,Pós-graduação,Outras Engenharias
b6hi6eme3colqlu4hwwbb6hifx02ywyj,Masculino,Outra Opção,Não tenho experiência na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
b6mpeci333zicxpvb6mpbfrvfacmb9uq,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 4 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
b6pdr3b2wsujvom3tbg73b6pdrz12s3u,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
b6tfhk3aw21yf49b6tp0adywtdxre0z3,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
b7gceo8r61b7o2j7978db7gceo8zfouu,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
b87l0lvmxywt1n8qcinb87l0l9zupdv7,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
b8g4ckspbr9qo4cg9jb8g4myobvterda,Feminino,Analista de BI/BI Analyst,Menos de 1 ano,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
b8l225iuaq0t6ze74b8l2ajw0qg53uid,Feminino,Analista de Dados/Data Analyst,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
b8nzsea8kscxo93zovcb8nzsea8dkpop,Feminino,Analista de Dados/Data Analyst,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
b9dor7x15b9av8x6s7268ltyjh7x4f9a,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 4 a 6 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
b9fj09w4hmdo3k81b9fj09vrooq3nu9w,Feminino,,de 5 a 6 anos,Mestrado,Outras Engenharias
b9jypwxi59vv4quj1ftb9jypwz823rjg,Masculino,Estatístico,de 5 a 6 anos,Mestrado,Química / Física
b9phbossfqs97ugzl5n1b9phbg3lh5l7,Masculino,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de 3 a 4 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
b9wdp3fr6ji6ku7xyuwtb9wdmpxbrxdh,Feminino,Analista de Negócios/Business Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
b9wo3362wz8gwxnb9woqktffl26q5bbq,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
ba4eg42uvd7lan0oba4esecqtffm6x6o,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Menos de 1 ano,Mestrado,Química / Física
ba50bi9tn03yq23c2aba50hts4snqecm,Masculino,Analista de Dados/Data Analyst,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
bab1m0lmv9qkye525vbab1m0lx9bvdip,Masculino,,,Mestrado,Outras Engenharias
bac6iiovvc2sv1zvenbac6iiodlvsw2e,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
bacrza9zvbohojp14hgvs2xabacrza9z,Masculino,Analista de BI/BI Analyst,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
bamrw0nw2u12kdzbamfrhbimz1bib7aq,Masculino,,Menos de 1 ano,Graduação/Bacharelado,Outras Engenharias
banhjvelk76qimqbanhj1hjfvwgzj5pp,Masculino,,de 7 a 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
bayqzpuswxqnt4rbayqzds8x3f4vbkut,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
bcubfs25d44mjfo8e575bcubfs274d8o,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
bd792a686jnmmd3bucyn39fbd792amft,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Prefiro não informar,
bdfr7pnnnd645ytw2129cs4bdfr7prqo,Masculino,,de 5 a 6 anos,Graduação/Bacharelado,Outras Engenharias
bdfsg2btnbt7jhgi54nbnbdfsg2ojsfq,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
bf11g7poyebf7h1wty6369z1v5gwekx7,Masculino,,de 7 a 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
bf7tvubxelr3ufzpumibf7tvq6vcj8fp,Masculino,,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
bf8j8nftg2x0oyewayab1hbf8j8n0ymj,Feminino,Analista de Suporte/Analista Técnico,de 3 a 4 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
bflhkwbf3p5fl7pmbflh795nfzqckwgq,Feminino,Professor/Pesquisador,Mais de 10 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
bfn337mxoqtfd8tmjpkuqyfbfn337my8,Masculino,Analista de Inteligência de Mercado/Market Intelligence,de 3 a 4 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
bfp3hevoc9u1mzbfp3hdblx4nl08c2sd,Feminino,Analista de BI/BI Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
bfqj04ktkvcwfutah59zcynbfqj04krg,Masculino,Analista de Dados/Data Analyst,de 3 a 4 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
bfqlif5991ohzfj1ftvrjbfqlif59z22,Masculino,,,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI
bg6r1rg4bh1jz9zs2bg6d7k6qbyvcikz,Masculino,Analista de Negócios/Business Analyst,de 3 a 4 anos,Pós-graduação,Outras Engenharias
bgd9yhnzi576za0tqmt1bgd9yxjf9ooq,Masculino,Analista de Dados/Data Analyst,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
bgwcowkvk1tnbr7xnbgwcow6u8p6ayy1,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Estudante de Graduação,Outras Engenharias
bh4bmy1quaydsnw1gbh4bmqv9atzpxd7,Masculino,Engenheiro de Machine Learning/ML Engineer/AI Engineer,de 7 a 10 anos,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI
bhe8ymf895bhwihfo2xn0317o4r56wiu,Masculino,Outras Engenharias (não inclui dev),de 1 a 2 anos,Pós-graduação,Outras Engenharias
bhh1h2suf8hrtjeebmbbhh1h2sq3ft7m,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Outras Engenharias
bhnvz6qczsevbhnph3b9ns01wxqytxcv,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
bis7m0u8kpp30650e9qbis7m0un4rayn,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
bj1sqfgb2tu1zlmn9rymbj1sqktzb3km,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Graduação/Bacharelado,Outras Engenharias
bj3afnjt4xaoeck66bj3b3hb6t7nu3qy,Masculino,,de 3 a 4 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
bja47pja2nuxvbja1p6usxo9muab2qct,Masculino,Outras Engenharias (não inclui dev),de 3 a 4 anos,Pós-graduação,Outras Engenharias
bjn727809d6yplnhzrr4bjn7278dl7ms,Feminino,Analista de Dados/Data Analyst,de 7 a 10 anos,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
bjv8xbzy8m8h41r6s04bjv8xsttsfvw8,Feminino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
bl1cnr4hpegqqnod8a7bl1c9ezjqaqlv,Feminino,,Mais de 10 anos,Graduação/Bacharelado,Outra opção
bl71hi1148pkrabibl71d3ain2ybn63m,Feminino,Analista de Suporte/Analista Técnico,Não tenho experiência na área de dados,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
blb8oajnnvl5ldhyy49dblb8oaqmps71,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
bmgrj437q9gmkagyzfnmbmgrjl1hr42z,Masculino,,de 5 a 6 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
bmiaeu9eiyx6na35n1bmiabwcwu6qbo3,Feminino,Cientista de Dados/Data Scientist,Não tenho experiência na área de dados,Graduação/Bacharelado,Ciências Sociais
bmpbd53ckdyyr7mzusoxrbmpbd53nczo,Feminino,,de 4 a 6 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
bmvkht4iybmv1rtt0egmtruyqatjfhe1,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
bni11iux9om5aptqsxpcbni1pyb1lor0,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias
bo7dytu98y953np4cjbo7dyvza8c6cme,Feminino,Analista de BI/BI Analyst,Menos de 1 ano,Pós-graduação,Ciências Sociais
bofwqmop3rljwbohp9zofr4sroalwbrc,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Doutorado ou Phd,Outras Engenharias
bol7o1bl3cuwiiydxrtboltroo8pvsa1,Masculino,Cientista de Dados/Data Scientist,de 7 a 10 anos,Mestrado,Outras Engenharias
bopht5igwziku27pqt2f3bophwnm4zz3,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Graduação/Bacharelado,Outras Engenharias
bossn2j8x5wmkboss4s46eas25gd5ec4,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
both2c0k7umf31both2canm38cfcsyys,Feminino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
bp1wxmdhugr4udafbp9u47i8g71a43w0,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
bp6ggayydveqjwad1a4nbp6ggaycor00,Masculino,Cientista de Dados/Data Scientist,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
bpg9c1evysz23csqadbpg9c1va6qo02b,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 3 a 4 anos,Graduação/Bacharelado,Outra opção
bq9e9gn2wfu1wlenbq95leudvvnhzvrt,Masculino,,de 3 a 4 anos,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios
bqehuuxczppq8l3ai65dgvbqehuubd7g,Masculino,Analista de BI/BI Analyst,Mais de 10 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
bqxpinyjno8ttgaxbj2pfbqxpiwwda7r,Masculino,,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
brgr1sazqlot7hbfcclbrgrpv242hcdy,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
brkomp0gyab7elobrkodl6dpn3wmxmn4,Feminino,Outra Opção,de 5 a 6 anos,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo
brngosan2qmgufgzg3brngoaimfajhk4,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Menos de 1 ano,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
bs12bewatg6ddqubs12bpxl0ev0n09dl,Feminino,Analytics Engineer,de 3 a 4 anos,Doutorado ou Phd,Outras Engenharias
bs7e4cdwobs4kpue4pa7cwdsvdu3f34k,Prefiro não informar,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
bscq665kyme4joxcosbscq68bw2fz2go,Masculino,,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
bsjwhvvvxda5qlwzhixbsjwk3cl9nanp,Masculino,Analista de Negócios/Business Analyst,de 3 a 4 anos,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
btk5l62911lyuv58btk5tr1uqcmq6b9s,Masculino,,de 5 a 6 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
btkyj454enlgxdjn681qsbtkyj45bgx5,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
btmsssvsnacveqqptczwbtmahdkzsz2o,Feminino,,,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
btnwf2vxzx4ad0rcpjzfhfbtnwf2vy49,Feminino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
bttgr3eussj9ev735hli96sibttgr36f,Masculino,,,Não tenho graduação formal,
bttmoppdth9kwuw7r1g5bttmo6zhpd37,Masculino,,de 4 a 6 anos,Graduação/Bacharelado,Outras Engenharias
bu5lvlc6gyqda2fjui4cbu5lv82lns9c,Feminino,,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
buji1lc6igvlp1r96hfkbuo22xunlzxb,Masculino,,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
bv9ptb4y03ce52bv9ptdu6sibaelqu14,Masculino,,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
bvexktqeh4pm3mi4tmv560cbvexkt5n9,Masculino,,Menos de 1 ano,Graduação/Bacharelado,Outras Engenharias
bw1oxod2a642phi4oojbw1oxed3q5889,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
bw9slubrrxbw9s75jnpbqnjq85dbxvof,Masculino,,de 5 a 6 anos,Mestrado,Outras Engenharias
