"('P0', 'id')","('P1_b ', 'Genero')","('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')","('P1_i ', 'Estado onde mora')","('P2_f ', 'Cargo Atual')"
qqokxpkpo7wwgde2aetcqqokxmht2y5f,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
qr2zxvvcgl0tjsjz9kqr2zs7f0zy0zl7,Masculino,,,Analista de Dados/Data Analyst
qrhp2l4gm6zem7qqr6rlgpgmwup6vmk2,Masculino,,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
qrih9difhc7o5gei92qrih9wcaa21al3,Feminino,0.0,Bahia (BA),
qs23k9t8y4147yqs23c72fxg9f7p04r6,Masculino,,São Paulo (SP),
qspmfnbsc5l34y9egmqspmfm2uxpsa9r,Feminino,,São Paulo (SP),
qstagrt2tvr9ltuhqhjkqstagr5oinu8,Feminino,,,
qtav6ejohrbm26qtavz3uq99ud2kv96l,Masculino,,Pernambuco (PE),Analista de Dados/Data Analyst
qtgdyilxweu1e7yhhq28zsqtgdyilxp4,Outro,,São Paulo (SP),Outra Opção
qtlwhf3a9dxzmz0qtlwh8ymtxo0ep065,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
qtnv74w7ynx5at5q839mi6qtnv74w5mb,Feminino,,Rio Grande do Sul (RS),
qu3d61gcjaybiiup59mosqu3d614u2lo,Masculino,,Rio Grande do Sul (RS),
qu7myzvu9o17n67zm5qu7myzvplbskc3,Masculino,,Paraná (PR),
qubtwtexasjwuuier0ifequbtwttp5zr,Feminino,0.0,São Paulo (SP),Cientista de Dados/Data Scientist
qud8ymo3gdldpzx8hzczgwqud8ymosms,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
qugqs8ughkrvfikiqugqs601k3yo6nqf,Masculino,0.0,Ceará (CE),Outra Opção
quktpf517pfb2foh5mqutr4czcrtoqof,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
qv5zyabqeryu9sqv5zya3ya264k8m9xe,Masculino,,São Paulo (SP),
qva3f42lbdsxlwsqva30sg8kx5llnuzf,Feminino,1.0,São Paulo (SP),Analytics Engineer
qvf0hs93wsfartkl2apv5xsqvf0hsqe0,Feminino,,Minas Gerais (MG),Analista de Dados/Data Analyst
qvoefn9skh6hbuw6szqvoe5z58z7zl8m,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
qw7agf79ta0des6qw7agf7cugpvkuaid,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
qw8ighqixq5hv6ttqw8i56fqml4cnrxj,Masculino,,São Paulo (SP),
qw9n2wlf6ay3ycx52diaqw9n2z2odytp,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
qwb8bm8kkiexg89m7xliqwb8bm0s7ulm,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
qwdj8ve9zlgg7oyz8ahoeeqwdj8v8odt,Masculino,0.0,São Paulo (SP),Cientista de Dados/Data Scientist
qweykfr0b3w8ecqwhuzisc1sbehj8tk1,Masculino,,São Paulo (SP),Outra Opção
qwskudhdx90ah7qwsku1phg21na9mzbn,Masculino,,São Paulo (SP),
qx14uhgv4mu35mvln3gbpqx14uhb7vir,Masculino,,,
qx251tmcyun4bvvziuyuqx251tjzzc2i,Feminino,0.0,Paraná (PR),Analytics Engineer
qx51ewma4pg4f3qx51eh8ryvzjgek2dx,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
qx723efbb2njmvf0sbqx723ermwrjt1g,Masculino,,Piauí (PI),Analista de Inteligência de Mercado/Market Intelligence
qxfn5cg7eq6mi0df0jzt1qxfn5983ijn,Masculino,,Rio de Janeiro (RJ),
qxp80e3ugtpidmrwj4yuqxp80elfi11c,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
qy6jitatr0plhwfvqy6jej5bxcou55f9,Masculino,,Paraná (PR),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
qyb7e62kir29wuaqyb7e6ezfpmddwpvl,Masculino,,Rio Grande do Norte (RN),Analista de Dados/Data Analyst
qykiay8qltljygbzpyqykiat6a16woo7,Masculino,,Paraná (PR),
qysys5tw0k73lgbd3dqnqymt74by3e8w,Masculino,,Minas Gerais (MG),Cientista de Dados/Data Scientist
qyyfxe1wk8dduhl21s5bo6oqyyfxeutf,Masculino,,Santa Catarina (SC),
r01fwxrz4z29mawy5rc6cpr01fwxug4k,Masculino,,Minas Gerais (MG),
r0claktms2kcerr0c7d43gnsgy3ibwo0,Masculino,,Ceará (CE),DBA/Administrador de Banco de Dados
r0dvk0evevotr0dvk788x1umlixnidd7,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
r0wd16opmeymcris7r0wd1x7nrv5t7zo,Masculino,0.0,Rio de Janeiro (RJ),Analista de BI/BI Analyst
r1cn8qgibigs5flcomo1py3r1cn82qqe,Masculino,,Maranhão (MA),
r1dncmgvdg8b0611dwkcr1dnc49x06i1,Masculino,,São Paulo (SP),Analytics Engineer
r1gy8ibzltcra7l3r1gy8fiqwiwhaj75,Feminino,1.0,Mato Grosso (MT),
r1oetm5vx0ltnoo0zr1oet3itpmhbhya,Masculino,,Minas Gerais (MG),Analytics Engineer
r1vdx2fdzro5j66mqr1vdx2bir4426xo,Masculino,,Paraná (PR),Analista de BI/BI Analyst
r2c3edggb16geqajr2c3ed69llauollg,Masculino,,Minas Gerais (MG),
r2f8h85hqgtfxn0yyu6r2f8h85zku5py,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
r2lygj07njx1it4r2l2x16pg5hzz3hjo,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
r3bvw4x0aw8kh7ai7lor3bvw4h9vd987,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
r3tqarbt8nhat0s994ar3tqavqnqhbjq,Feminino,0.0,São Paulo (SP),Analista de Negócios/Business Analyst
r47ap727lbk7818ieapr47apqm3nl631,Masculino,,São Paulo (SP),
r4fvgdq7gknyb1uxx8rr4fvgsvruqimt,Masculino,,Ceará (CE),
r4g9jyrqc1j4xhtb7se85rtr4g9jytuf,Masculino,0.0,Mato Grosso (MT),Cientista de Dados/Data Scientist
r4npli56gyxtyhrbr4ndo7irtjijk8xm,Masculino,,Minas Gerais (MG),Cientista de Dados/Data Scientist
r4twobaocqq6s8l0xgfv8r4twobz3bwv,Masculino,,Espírito Santo (ES),Analista de Dados/Data Analyst
r56ivxhs3h8cro9ihmpzbr56ivf5cob1,Feminino,,São Paulo (SP),Analista de BI/BI Analyst
r59jf4del4guqtuezr59j1652sq2dnsg,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
r5bt7z7b2dp1bnl77r5btjx63n29cqou,Masculino,,São Paulo (SP),Engenheiro de Machine Learning/ML Engineer/AI Engineer
r5f7adden3u0xzjr5f7adqg7akdd53v5,Masculino,1.0,Minas Gerais (MG),Outras Engenharias (não inclui dev)
r5jdfbinvipuwbco1hr5jdfayzlpt96m,Masculino,,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
r5tih3ibrs0do56r3r5tih1eoqnnatr5,Masculino,0.0,Paraná (PR),Outra Opção
r5wmly8605gcd88ueke3xr5wmly86csr,Masculino,,Paraná (PR),Professor/Pesquisador
r5wpxy6io8w76by64r5wpxw1iuibt28i,Masculino,1.0,Sergipe (SE),
r62lq2afd9rkon2lgsdfr62lq24qr5b4,Feminino,0.0,,
r682z6hrmwnxb8ikgj2ue67r682z6hll,Masculino,,Rio de Janeiro (RJ),Analista de BI/BI Analyst
r6k4daf48yjg6inoiqar6kbgf5rhc5du,Masculino,,São Paulo (SP),
r6z077mozcaqb6k3ov7r8zr6z077mpx9,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
r6zvv99vz77svf1lr6zvvatoypp9hhcr,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
r729s7r98knvlatn7hjr72ladofa4ysh,Masculino,0.0,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
r72b7a87c7uyvu27r72b7aowe59wcapr,Feminino,,Minas Gerais (MG),Cientista de Dados/Data Scientist
r7f970y1ar4skgzr70rtslbmf9gmbqp2,Masculino,,Minas Gerais (MG),Outra Opção
r7hsaayqsq4ry1jr7hs2jtwx10jq1qmr,Masculino,,Paraná (PR),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
r7i6i319m0kcyiu9cr7ieo5b47sxm55g,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
r7mgssfd0d6qvw1wr7mgssf5exvt0m49,Masculino,,Ceará (CE),
r7o9xsu5d3s5sucwy5r7o9xsuz9wmmhl,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
r7ycazahvitq9f8vr7yce8nlcprpwpf6,Feminino,,Minas Gerais (MG),Analista de BI/BI Analyst
r8d4xe7olvqo76bp90rb4r8d4x9e2tmr,Masculino,0.0,São Paulo (SP),
r8obyt7sk9pxffcayeb5r8obytqqwb55,Feminino,0.0,São Paulo (SP),
r96rktbaet73wgr96raugxwkum5wbz8i,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
r99b5kcn8w6mfjookgvu7dsr99b5kcnd,Masculino,,São Paulo (SP),
r9p4f3yo7djix18l36t4r9dqw9c1c9m0,Prefiro não informar,1.0,São Paulo (SP),Engenheiro de Machine Learning/ML Engineer/AI Engineer
r9rs502faupt8f554rl4r9rs509gtocb,Masculino,,São Paulo (SP),
r9wbut1e32h65tu5g01r9wbut7l0oql9,Masculino,,Santa Catarina (SC),
rakl4gl09echoiy8xkrrakl4g98buh5e,Masculino,,Minas Gerais (MG),Outra Opção
razv0ae8tzk4tadakqm8razv0aekep24,Feminino,1.0,Santa Catarina (SC),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
rb2aklvzkm1a5rb2aa5mowwwhrtsxfr8,Feminino,,São Paulo (SP),
rb8z2evcglei6sgnboymmrb8zvx0hjjd,Masculino,,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
rbf89i16fkiyhrbf5oneajzsu5vwbkwa,Prefiro não informar,1.0,São Paulo (SP),Cientista de Dados/Data Scientist
rcdgr2ffpiivmheesrcdgmyu1w4ww2pa,Masculino,,São Paulo (SP),
rcqwumra100i7zvgdcrcqyddpr1g5iuf,Masculino,,Goiás (GO),Cientista de Dados/Data Scientist
rd40wcml1i94e91fz5v2rd40wxdu8l34,Feminino,,São Paulo (SP),Analista de Dados/Data Analyst
rdcrg7c7lt3btnq63wrdcrakthkyhkp7,Masculino,,São Paulo (SP),Estatístico
rdcvqhfkp17r4co8rdcvqd2wofb4z1lw,Masculino,,,Cientista de Dados/Data Scientist
rdelmfu4u6o03opmsz8qhfmzrdelmfuh,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
rdicmga98z4kxwht4b3wjrdicmgjtlxy,Masculino,,Rio Grande do Sul (RS),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
rdjsmpj7bavag9rrdjsmfwf9e30tg5cu,Feminino,0.0,Sergipe (SE),Engenheiro de Machine Learning/ML Engineer/AI Engineer
rdlg7npqacrttrdlmnlmrcbwzgckuib9,Masculino,1.0,Minas Gerais (MG),
re4vx5yb2djubvuy2lusre4vxf7ltuls,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
re59yb5m46nxz0are5ildmxt21ifa1il,Masculino,,Bahia (BA),Outras Engenharias (não inclui dev)
relj36y9b7p8dgbz5relj3a0v9kelajr,Masculino,1.0,São Paulo (SP),
rexidaxafi43pdc3q788dufrexidaxil,Masculino,,,
reyn2cb3hu56ozpjpreyn2w15c4epu9d,Masculino,0.0,São Paulo (SP),Analista de Dados/Data Analyst
rf2s0eg8gjubg3a7vrrf2s0en4zofd3o,Masculino,,Amazonas (AM),Cientista de Dados/Data Scientist
rf3c3awiay2spdkbe7ojnm5crf3c3awl,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
rfbp3nutzmzwqi6xgn7crzqn6uv9rfbp,Feminino,0.0,São Paulo (SP),Outra Opção
rfu69txirlf8t4f5qorfu691z0z2t52v,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
rg1okfpz3j4fkaqdkkrg5x5k4gn3bxsp,Masculino,,Distrito Federal (DF),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
rgbo5dsxjw1wmn15labfvrgbo5dsx56r,Masculino,,Rio Grande do Norte (RN),
rgd6gs4dfav96iv4krgd6gs4wyepfbot,Masculino,,Goiás (GO),Outra Opção
rgpvym66qdaja4wh86trgpvymk89eykr,Feminino,,Paraná (PR),
rgsuxt43xjvm54krgsupmjdq2575jlen,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
rgx5ijl30t58sitwaxrgx5ij9ki8l19t,Feminino,,Paraná (PR),Analista de BI/BI Analyst
rild1ni1k2vxktwft00rild1ws814a0b,Feminino,,São Paulo (SP),Outra Opção
riw9hqekspai38u8bbriw9d96vw6fy95,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
rizlqw0aqj6re9buerizl4c6uq8zjqpu,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
rj2cgsc6mbq9jrj2cgb5d12gbyjgyrcb,Feminino,0.0,São Paulo (SP),Cientista de Dados/Data Scientist
rjfsvupueqevxnehigh10rjfsvua0h42,Feminino,0.0,Ceará (CE),Cientista de Dados/Data Scientist
rjfz1nwrmy0rcp8rjfz1nwx9vogl9goi,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
rjg89tkq44jgt0t39rjg8902lf67mofj,Feminino,1.0,Goiás (GO),Analytics Engineer
rjx0noandrelxa2znas4rj6jv457zt2g,Masculino,,Ceará (CE),Analista de Dados/Data Analyst
rk52auxzblqw4sjj1hrk52jv7cbknz72,Masculino,,Ceará (CE),Analista de BI/BI Analyst
rke3148vzm3ad2f2h2s7rkeraxed6vtg,Feminino,0.0,Minas Gerais (MG),Cientista de Dados/Data Scientist
rkennmye9tbgajo0xrtsrkennmyevx6a,Feminino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
rkmah4y8izc3bcwrrkmah435b95clcl5,Masculino,,Paraná (PR),
rkp7idtuulp7jfkzt6xzrkp7idtfccxl,Outro,0.0,São Paulo (SP),Analista de Dados/Data Analyst
rky8sp5lftsoks9c223wogrky8sp0g7a,Feminino,0.0,Minas Gerais (MG),
rleh94jmuh6wbp7slboyo2lrleh94h52,Masculino,,Rio Grande do Sul (RS),
rlhn2e77zc5xf7pp3nrlhnufrz79ir6t,Feminino,1.0,São Paulo (SP),
rljmpvmk6ncg1x0kktagrljmpv8aeyny,Masculino,,Goiás (GO),
rlti81zzyazz181rlt1ne9h6f7r66fvx,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
rltrkf5sj17z7kiprltrkal07avr4y10,Masculino,,São Paulo (SP),
rm6xczm6wbjvbqvrm6xo19ondl3vkqro,Masculino,,São Paulo (SP),
rn34zbjnps675flrn34ksjclvq2uilm7,Masculino,,,
rn6cl0kgwgd118tt6ern6eztlqq9xufd,Feminino,0.0,Minas Gerais (MG),
rnck7nxkf8y6es8u3rnck97czplti4k0,Masculino,,São Paulo (SP),
rnfsulreyc7o252afrnffnu7nwvit4v6,Masculino,,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
rnnhzyhrn9yjqvxrnnhzy4pqbigez6h4,Feminino,0.0,São Paulo (SP),Cientista de Dados/Data Scientist
rnote77sb7cqiqj4iwrnoteyzi091fn2,Feminino,1.0,,Cientista de Dados/Data Scientist
rnwialzpkg3fggf1rnwialqeqj4b9i2i,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
rnz2gwm0gr7881tghj5srnz2glgikapa,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
rnzsp2gvm0c1sbfwhrnzsp01f99d8dsl,Feminino,0.0,Goiás (GO),Analista de Dados/Data Analyst
ro351jths3v1j850dro351jn7x7pcgw5,Feminino,1.0,Paraíba (PB),
rom4wyaxqdc89tr3yivrom4wybf5v9qt,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
rpck9xz6tncfzyjdm0xbrpck9qsla13r,Masculino,,Minas Gerais (MG),
rpqscsmlzf9wjdayrpq24ltq4m8ynaj8,Feminino,,Bahia (BA),Analytics Engineer
rpsuzfo2e512rsdsdmunirpsuzfyrpwb,Masculino,1.0,Paraná (PR),Engenheiro de Machine Learning/ML Engineer/AI Engineer
rq6mt3rlgquhdupgbrq6mt3q7hs3ak45,Feminino,1.0,Paraíba (PB),Cientista de Dados/Data Scientist
rqud28u1pu1ohrqud2n9gxq42wg5og77,Feminino,,São Paulo (SP),Analista de Negócios/Business Analyst
rr6p1z11fyp9f533jmrr6p1z1ntrjoz1,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
rremho6t60xlvbvdi29rremhohkwqrqb,Feminino,,Espírito Santo (ES),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
rrigcrobqjskbvwrrrigc8wo3yr6u2pt,Masculino,0.0,Pará (PA),
rse8ku6as379t2rikqytttrse8ku68u8,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
rsf7tkuvzhn0g9p7rsf71v75jnzf5i0l,Masculino,,São Paulo (SP),
rsinfdc7ejivbcoursinfd94iwbufbao,Masculino,,Paraná (PR),
rsr1zg43up7q4duzkuhmlkrsr1zgoadc,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
rt4mjb0e1wuqwr8lwjgrt4mj7dz9dxy8,Feminino,,São Paulo (SP),Analista de Dados/Data Analyst
rt5zymqkqb0rhtyirf7rt5zy7pg5wrcn,Feminino,0.0,Rio Grande do Sul (RS),
rtklyhw8afie3yzgaj6rtklyhwhzh5fp,Masculino,,São Paulo (SP),Analista de Suporte/Analista Técnico
rtxwwsj5kj71k8vrtskqvonw4kvbb4pi,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
ruk3if7zijwke7wx6wruk3hotjv2o4e7,Masculino,1.0,Rio de Janeiro (RJ),Analista de Negócios/Business Analyst
ruubc5bs2fq8fr0e84zruubr27lkjfbx,Masculino,0.0,São Paulo (SP),Cientista de Dados/Data Scientist
rv2hgtlxtnj5r9zkzn9d9s1htrv2hgt8,Masculino,,São Paulo (SP),Outra Opção
rv5oh83y7djtd8oq75natrv5oh83zzc1,Feminino,1.0,Minas Gerais (MG),
rvf6leeo98593dcar5drvf6rs3aj0vx6,Feminino,0.0,Paraná (PR),Analista de Negócios/Business Analyst
rvg35u5gh80cnlsn8rvg35e8s40wkho8,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
rvs532wls3cvomo3rvs532ip9n0g2zka,Masculino,,Minas Gerais (MG),DBA/Administrador de Banco de Dados
rvvqqq89nhmp15nxlx7rvvqqq1j4nk9u,Masculino,0.0,Rio de Janeiro (RJ),Analista de Inteligência de Mercado/Market Intelligence
rvwzt75emf1496krfgdervwzt7czmcw8,Masculino,,Santa Catarina (SC),
rvzdllkvspb6rvzdnq4gkqvwoac2tnq4,Masculino,,Piauí (PI),Analista de BI/BI Analyst
rw16rac5ns5qd9qlyp5i9rw16rru2bji,Masculino,,Pernambuco (PE),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
rw82ptfrxuc0agxdrw8lsd8vclfctizo,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
rwegxwxuuexqzpljfrwegxvnmy0bw7wz,Feminino,1.0,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
rwoul6i24uwfrwoulkr4wuhs3cnhrfxb,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
rwsseh8adluiuganrsrwssuln8rm2i6j,Masculino,,São Paulo (SP),Professor/Pesquisador
rwygeab4fdrh0be5cfllhrwygeabn9k8,Masculino,,Mato Grosso (MT),Analista de Inteligência de Mercado/Market Intelligence
rx81h0f9bnz1zh0sarx81h93wo4ssj5y,Masculino,,Rio de Janeiro (RJ),Analytics Engineer
rxlae52xd95jkwifrxlffnpcovjxldzo,Masculino,,Ceará (CE),Analista de Dados/Data Analyst
rxqj0igqz2ajs9qrxqjgv55sb07xymfj,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
rxwryd80edp7b0vaierxwry6foya1x5u,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
ry385mi8sapzeer8ry385zucspdujx3v,Masculino,,Paraná (PR),Outra Opção
ryba47cksaq4sx0e5w99ryba47cs10mn,Feminino,0.0,São Paulo (SP),Cientista de Dados/Data Scientist
rykyhbk4n88613ryprxytmop30d5wke3,Masculino,,São Paulo (SP),Outra Opção
rza6ys6pw5oppgk9p8srza6ys658rh9d,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
rzan2pnrsja998u5fi369xcrzan2pncs,Masculino,,São Paulo (SP),Engenheiro de Machine Learning/ML Engineer/AI Engineer
rzjdr1klakrrzjd60npikczomicfki9s,Feminino,0.0,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
rzo8us3v3ca09r01rzo8ub8qi98d9c2q,Masculino,,Paraná (PR),
rzxgatoczu3gq1pu2dhli9rzxgatowek,Feminino,,Distrito Federal (DF),Cientista de Dados/Data Scientist
s01ifnm0uh92gaus01ihr1m0jsa1e1iw,Masculino,0.0,São Paulo (SP),
s0377s1j5u5vevfph1wds0377zqy60c8,Feminino,0.0,Paraná (PR),Outra Opção
s0e5xeiweqrk7nhbcac1600s0e5xeqfn,Feminino,0.0,Minas Gerais (MG),Analista de Negócios/Business Analyst
s0x9h6bse1n9drbl6d9xgo6s0x9hhtjq,Feminino,0.0,Santa Catarina (SC),Analista de Dados/Data Analyst
s10mheu0je9sqjpn92s10mvpnt84qzvk,Feminino,,São Paulo (SP),Analista de Negócios/Business Analyst
s1e5wdffk1lj8cg0toa6i4s1e5wd48jf,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
s1gemumgxbvf183bfs1g5cs0dmy6bg5d,Masculino,,Santa Catarina (SC),Analista de Negócios/Business Analyst
s25meqbhmchxiwbudws25m0jnylpaw9p,Masculino,,Paraná (PR),Outra Opção
s29to7fwdaxy3x9s20f49ogjqtx716jx,Masculino,,São Paulo (SP),
s2u30ukmzld4o19s2wef3dyxwyimckwe,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
s2y2c42pr4x0yuv2fqlos2y2ol50i0pk,Feminino,0.0,São Paulo (SP),Cientista de Dados/Data Scientist
s37inwhdx7vidy0fs37ijt5s6oqh6iwa,Masculino,,São Paulo (SP),
s3a64espdm1ic80e1s3a64eu8sbit8rc,Masculino,,Ceará (CE),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
s40xs3ci41d37bsps40x9r61ltj8opc7,Masculino,,São Paulo (SP),
s4kdn1hmgh4fxzycs4kmnj0gjv2t08fr,Feminino,1.0,Rio Grande do Sul (RS),Analista de BI/BI Analyst
s4uel9b3921xpbls4uabnstlgby0ccyw,Masculino,,Minas Gerais (MG),Analista de Negócios/Business Analyst
s4xvrjjjehbgas4xvrj7x99x3conl4yh,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
s58guc94v8hr2eaos58g01lqf9bl2ic2,Feminino,0.0,Espírito Santo (ES),Analista de Dados/Data Analyst
s5ckq7k8dx93ui7zgys5ck5eqjvboukv,Masculino,,Paraná (PR),Analista de Suporte/Analista Técnico
s5wzgn6afg8mddki2f7cis5ye1bztm0y,Masculino,,São Paulo (SP),
s60qy8rxds1xokeis60q8c7lmzas3hxj,Masculino,,Paraná (PR),
s68u0kfip4ty607q0y32bfs68u0kffz8,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
s68wj064ndbl43mvqs68wg1p7jdjchja,Masculino,,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
s6c4u61mlakg3cx7s6c4u61s603po2hg,Masculino,,,Cientista de Dados/Data Scientist
s6joxw8pdr4vchwp5k9s6joxyi5z80tx,Feminino,0.0,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
s6k0qtfj5qnzblds6k0nhdhwzqsu61o7,Feminino,1.0,Ceará (CE),Cientista de Dados/Data Scientist
s6uio3uc2xr4z94juzls6uio3u0tmb42,Masculino,,Rio Grande do Sul (RS),
s6z34zrt8iiguaetzpa4s6z34zrjkcp7,Feminino,1.0,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
s77qe82pj6nq21fvys77qe817uaqt0l9,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
s7f9tf986wzc5z5bs91ys72leqd8c33n,Masculino,,Espírito Santo (ES),Analista de BI/BI Analyst
s7kwtnmcy73fat82s7kwtedmocz3dy4s,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
s7pchvtchcim2n6nas7pchv03tym6ym0,Masculino,,Rio de Janeiro (RJ),
s7w3g0xm6z34oafhvs7w3g0x8xrvcgj8,Masculino,,Espírito Santo (ES),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
s7wv0vj1dyshagzs7wv0vut5yk4ypde7,Masculino,,Paraná (PR),Analista de BI/BI Analyst
s87jp3q7egtxk8dars87jp38x3hw3n9x,Masculino,,São Paulo (SP),
s938zzej3c4zfvpmqs938zzernu3n56m,Feminino,,São Paulo (SP),Cientista de Dados/Data Scientist
s9h58zyrehjsng3s9h5m14jrxpeu551l,Masculino,,Espírito Santo (ES),
s9ozjslfquaqpg42xm3s9ozjs03qxcoo,Masculino,,São Paulo (SP),
s9q41n9tzjgqgcs9q4dpdwsnik7peye8,Masculino,,Minas Gerais (MG),Cientista de Dados/Data Scientist
s9ukxowezb5yjhpgkyuws9ukxow6mdww,Masculino,,Paraná (PR),Analista de Suporte/Analista Técnico
s9zsmml9ukrojgs6uctmls9zsmm5y0p1,Masculino,,São Paulo (SP),
sak0yp88dwpzpsakkpkdy71ds0uzoz95,Feminino,1.0,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
sbnqyfcu13cdqow2dc7ojsbnqyfv21md,Feminino,1.0,Rio Grande do Sul (RS),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
sc421vjr9lhyy6cw0r1s8sc421vjmwia,Masculino,,Ceará (CE),
scu53rsu3w3jnh7luto23hscu53rs4vs,Masculino,,São Paulo (SP),
sd1k5zyy801iuhrsdkcmi8u0iabtvdkc,Masculino,,Santa Catarina (SC),Analista de BI/BI Analyst
sd55ba9wfacy5jsdfws2ng6lvukml4fw,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
sd59qvmz3yqrb0o6sd59qvhkrwlcbqzw,Masculino,,São Paulo (SP),
sddbb3d4y87nz6dgk2sddbin8ht77f6d,Masculino,,Santa Catarina (SC),Cientista de Dados/Data Scientist
sdsf5cpva9l7qtsdsf5xf2v4e8tpw9f2,Masculino,,Minas Gerais (MG),
sdshjbkjyxi8z8ogsdsh2mx2wpt61n7b,Masculino,,Minas Gerais (MG),
semuy4mied69qirfsemuyswb364qtp84,Feminino,,São Paulo (SP),Analista de Dados/Data Analyst
